observed_docking_score,averaged_predicted_docking_score,belongs_to_lowest_10_percent
-7.691,-6.1229172263128575,1
-6.394,-5.864885527800819,0
-6.029,-5.932183512696612,0
-3.943,-5.469750000232239,0
-6.735,-5.730945015697416,0
-4.711,-5.962568380331852,0
-5.043,-6.300442674848733,0
1.185,-5.5539778791877605,0
-3.788,-5.594963127065895,0
-4.349,-5.780717571632354,0
-5.5,-5.828739348276317,0
-4.887,-5.806036856270815,0
-4.967,-5.988872711715544,0
-8.402,-5.978889590798932,1
-8.454,-6.091008050484847,1
-4.28,-6.253646114831966,0
-3.988,-6.116041939521802,0
-7.254,-5.91816726839249,0
-4.206,-5.894391983380972,0
-5.514,-5.700449728344861,0
-6.5,-5.760653221855055,0
-6.339,-5.989024961513288,0
-5.235,-5.393115389224179,0
-6.603,-5.808310118003269,0
-7.522,-5.860680798170446,0
-6.213,-6.02122920858688,0
-6.369,-5.615735975961749,0
-5.951,-5.967840062055396,0
