observed_docking_score,averaged_predicted_docking_score,belongs_to_lowest_10_percent
-6.167,-5.757982567784741,0
-6.173,-5.88541257688054,0
-5.04,-5.879608132219392,0
-5.46,-6.040579261674458,0
-6.855,-5.950175794795732,0
-5.16,-5.246542374750886,0
-6.655,-6.080510862266089,0
-6.813,-5.913263326762691,0
-6.244,-5.799950299126171,0
-4.765,-5.673816810148863,0
-7.058,-5.886750958257583,0
-6.733,-6.026157374252597,0
-6.244,-5.901922920171791,0
-5.195,-5.916705512186685,0
-6.93,-5.416901175449191,0
-6.708,-6.203859873972442,0
-5.605,-5.7915992301775665,0
-6.26,-5.690946095307053,0
-6.292,-6.151476747559819,0
-6.199,-5.340911657572333,0
-6.15,-6.092682913308019,0
-6.808,-6.1822104569540555,0
-8.183,-5.90500245172785,1
-6.657,-5.911886506471172,0
-5.745,-6.010685317761637,0
-2.814,-5.5884775880150155,0
-6.869,-6.011984251632886,0
-6.331,-5.879153275481555,0
-5.046,-5.885057552129055,0
-5.184,-5.844378937709959,0
-7.363,-5.899121014872846,0
-5.677,-5.965507846708761,0
-5.631,-5.884939956956993,0
-7.323,-5.887434762254266,0
-8.023,-5.427302362520883,1
-6.003,-5.903647681609237,0
-4.338,-5.986715752611332,0
-4.209,-5.941469796858853,0
-3.723,-5.330518378678953,0
-5.845,-5.349809836547096,0
-6.724,-6.066261980936177,0
-6.198,-5.892513801914374,0
-4.703,-5.562066537718203,0
-6.991,-5.6762211494382955,0
1.019,-5.214445558424812,0
-5.576,-5.313834439574592,0
-6.713,-5.262125199428556,0
-5.289,-5.213541035850148,0
-6.28,-5.342861739137068,0
-8.297,-5.77246364692487,1
-4.761,-5.226954072231878,0
-9.067,-5.921788159396194,1
-6.76,-5.852051089223447,0
-2.64,-5.822103681724896,0
-5.277,-5.912617197974803,0
-4.638,-5.904596800074194,0
-6.259,-6.14348041951614,0
-6.818,-5.940965546035176,0
-8.257,-5.930417774067056,1
-5.025,-5.891331387330997,0
-5.405,-5.382383262627225,0
-4.66,-6.001373548342963,0
-6.286,-5.869156863765387,0
-7.689,-5.789788499170059,1
-6.747,-5.910679334028939,0
-7.349,-5.510027271056563,0
-6.59,-5.248318524325765,0
-5.223,-5.71573025958364,0
-5.713,-5.963443425796441,0
-6.586,-5.842218526281187,0
-5.722,-5.835458989511764,0
-6.924,-5.4008071026141815,0
-2.719,-5.688764299799435,0
-5.242,-5.297037671772219,0
-8.787,-5.940226039290684,1
-6.801,-5.9199477922329935,0
-3.794,-6.170050383116819,0
-3.778,-5.289625839245762,0
-2.443,-5.451316935153615,0
-5.683,-5.8637299914531855,0
-6.172,-5.766368179578751,0
-6.797,-5.865891525417084,0
-6.712,-6.001752016395665,0
-6.051,-6.071722315427379,0
-6.393,-5.905032047540683,0
-5.61,-5.443520286207284,0
-3.053,-5.98274672987402,0
-4.73,-6.00318606030327,0
-6.315,-5.737822660021884,0
-4.706,-5.790695956892888,0
-4.308,-5.737677993478353,0
-3.858,-5.686305262456873,0
-7.351,-5.917620134463514,0
-5.703,-5.8931572913265535,0
-6.78,-5.899305620657387,0
-5.697,-5.912704742574127,0
-5.186,-6.057577956610072,0
-6.876,-5.8573508019013225,0
-4.173,-5.906825164577177,0
-5.191,-6.002789216742508,0
-7.097,-5.853373501578126,0
-4.364,-5.950642141954609,0
-5.834,-5.910934755210874,0
-6.688,-5.454691115954974,0
-6.747,-5.914565519763289,0
-7.062,-5.923087724050075,0
-6.772,-5.795140034561743,0
-6.923,-5.7999643263626295,0
-7.343,-5.722599629321452,0
-5.478,-5.841921224925286,0
-5.787,-5.932961939608349,0
-6.3,-6.285233055360368,0
-5.675,-5.90628868015347,0
-6.278,-5.886047535281831,0
-3.7,-6.047700573779313,0
-6.088,-6.180085799501494,0
-6.392,-5.434972113330902,0
-1.504,-5.325309206972467,0
-6.086,-5.5348898135096185,0
-4.656,-5.785343215315438,0
-6.453,-5.893093756688552,0
-7.478,-5.508696409483467,0
-7.487,-5.919844693522149,0
-7.489,-5.552152361897781,0
-6.315,-5.988427890983135,0
-5.066,-5.880437650238258,0
-5.479,-5.658786519568703,0
-3.82,-5.939405678188053,0
-6.007,-5.919633664896607,0
-5.246,-6.205629952190151,0
-3.593,-5.8914231012954374,0
-6.014,-5.584585158620578,0
-4.164,-5.598119580769632,0
-6.659,-6.077027742429087,0
-8.32,-6.1492150983330305,1
-5.31,-5.838944357813594,0
-5.059,-5.95847789787979,0
-6.905,-5.908000080695294,0
-6.116,-5.713833869810239,0
-3.72,-6.006254350974817,0
-6.695,-5.865332793306562,0
-3.311,-6.0138571389389535,0
-7.083,-5.93857452542231,0
-7.002,-5.728229429746177,0
-5.01,-5.528897082361145,0
-5.793,-5.269143556109532,0
-8.525,-5.901485000092963,1
-5.689,-5.9922929979581525,0
-6.067,-5.810433016035548,0
-7.187,-6.015266417629692,0
-6.946,-5.831493306201063,0
-7.682,-6.140770914726181,1
-7.568,-6.199702434497119,1
-5.582,-5.897534409505598,0
-7.461,-5.886289082715184,0
-7.356,-6.12106460689047,0
-5.045,-5.2119411867551575,0
-6.828,-5.869196577695087,0
-6.06,-6.702982024951012,0
-5.969,-5.887930748575278,0
-6.535,-5.322570981132002,0
-3.854,-5.531106778975966,0
-8.038,-5.961484612608405,1
-4.429,-5.886310287695772,0
-6.14,-5.575470336380811,0
-4.143,-6.031061982996248,0
-6.625,-5.527052411897452,0
-2.143,-5.764681304828033,0
-7.171,-5.587358759315456,0
-7.012,-6.177934880624993,0
-6.053,-5.772553475854367,0
-6.318,-5.92320951184483,0
-5.88,-5.233075641062812,0
-6.399,-5.259441536477518,0
-6.125,-5.36147892926577,0
-5.924,-5.95581423904605,0
-5.717,-5.556896732394542,0
-4.376,-5.624435430078851,0
-4.944,-5.803704410154716,0
-1.882,-6.131641288698577,0
-2.308,-6.021716540485451,0
-3.875,-5.768673540090025,0
-6.485,-5.9157399653619365,0
-4.847,-5.520922389134897,0
-6.574,-5.8690699109765125,0
-5.842,-5.868507048957662,0
-6.876,-5.917248419046017,0
-6.773,-5.969036436213808,0
-5.344,-5.954292619356908,0
-8.854,-5.914553524724156,1
-5.653,-5.739180888425228,0
-6.564,-5.955153899643409,0
-4.681,-6.161823554727544,0
-4.789,-6.369141464735969,0
-8.36,-6.120380524085897,1
-3.607,-5.730962495215944,0
-2.05,-5.786345539931285,0
-4.938,-5.547261069495399,0
-2.045,-5.909784903137226,0
-5.883,-5.862950829692528,0
-7.269,-5.900379227862255,0
-6.932,-6.049586714833816,0
-4.019,-5.280736054520812,0
-6.587,-5.806121308699417,0
-6.02,-5.877525279492998,0
-4.361,-5.525744976666927,0
-8.584,-5.845642838679717,1
-6.228,-5.561591079910463,0
-5.239,-5.90618207441556,0
-5.625,-6.028223309075362,0
-6.138,-5.943379900173484,0
-5.461,-5.961951540246387,0
-7.45,-6.0207914991067755,0
-5.006,-5.899174652259656,0
-6.617,-5.972778999303283,0
-6.694,-5.880636452806941,0
-5.137,-5.4639444084349,0
-5.892,-5.4661348923800706,0
-6.479,-5.813583921859171,0
-7.633,-5.905019353562931,1
-5.82,-5.98559839462628,0
-6.586,-5.573964239279997,0
-6.184,-6.03272183301174,0
-8.728,-6.08496592768232,1
-5.464,-5.918986558772077,0
-6.24,-5.859156484530681,0
-4.887,-5.925347248010197,0
-6.724,-5.978222298175402,0
-6.351,-5.9305701965658475,0
-8.164,-5.586998251577239,1
-5.728,-5.966866070682681,0
-8.147,-6.061038057507416,1
-4.319,-6.067994973692351,0
-5.002,-5.310371197323444,0
-6.746,-5.944717837876343,0
-6.627,-5.823520037578374,0
-5.579,-5.8808052749246755,0
-4.938,-6.081353636161828,0
-7.319,-5.883213782281644,0
-4.518,-5.860390454790326,0
-5.07,-5.578947503922906,0
-3.836,-5.318137539162955,0
-6.62,-5.6430822351869585,0
-6.458,-5.743987675102165,0
-5.547,-5.558586012202707,0
-8.338,-5.915771803622096,1
-6.147,-6.082898600855474,0
-7.893,-5.899754423425836,1
-7.591,-5.900294772243003,1
-3.973,-6.008731173410236,0
-4.777,-5.277497046025911,0
-6.318,-5.870365135133668,0
-7.663,-5.8789662271605625,1
-2.3,-5.344038566651764,0
-4.55,-5.949340411590832,0
-7.806,-5.804124955087342,1
-4.822,-5.859725696968542,0
-6.059,-5.923160692219971,0
-5.556,-5.904311123716956,0
-6.244,-6.010573938994072,0
