observed_response_value,average_of_predicted_response_values,standard_deviation_of_predicted_response_values
1.5811243,0.053788952166949185,0.9849726708640298
-0.2756751,0.06109033349274102,0.971592492302765
-0.33422002,0.35807937536065215,0.9735672583882873
0.009730418,0.3082762835031861,0.9699108990487777
-0.47725523,0.2890508144244066,0.9818394886812515
-1.1305615,0.22258671883878856,0.9679915516456524
-0.2903115,0.38938613127494953,0.9897638659224679
1.031602,0.11894495839556976,0.9833337685133123
-0.6316007,0.19521939980602934,0.9889384815196187
0.12415872,0.47323978919391696,0.9808252430823726
-1.1970896,0.21651274886252975,0.9694974288853649
-0.96357566,0.13334206604566998,0.982343804205163
-1.0886487,0.20211196122199648,0.967863732663193
-0.20116362,0.109912540164466,0.9654370703565016
0.27118596,0.26826324036350974,0.9848598228308026
-1.1239085,0.07913343467331926,0.9733991752315536
-0.28631976,0.30357096510853915,0.9754092683192146
-0.92964655,0.2463771104416803,0.9798886727546662
-0.40407455,0.5164840315310615,0.9563590760722607
1.2032447,0.20361164687336503,0.9918138817415373
-0.8424947,0.23593826861114056,0.977927291692425
-0.75068593,0.20864327355792886,0.9652858038696431
0.33305705,0.2969078849456595,0.9642228958066361
-0.6415798,0.3148752918900217,0.9657981386190566
-0.5650723,0.1226505284290922,0.9935769387846605
-0.7659872,0.1908232325940864,0.95319866173218
-0.21979141,0.3009525022703713,0.9938967311387374
-1.1771309,0.22225673172083968,0.9685458057819153
0.3284001,0.18599062644728964,0.9763152903608429
-1.0247815,0.07791359689892695,0.9884219190283284
0.5752193,0.2652306009514872,0.9710539725154995
-0.63692284,0.15897104611828183,0.9757118837645806
-0.6362576,0.1713171018425737,0.9549635416830868
0.24989691,0.21221410191375195,0.9864295002120705
0.05962637,0.2311284286534659,0.973504439825188
-0.72540516,0.17054582138911442,0.9860109472555929
-0.4426606,0.249980077727973,0.9803320741276901
0.6058222,0.4064525944385133,0.9685176780128237
-1.6002495,0.2093343230146302,0.9806512249278531
-0.22378312,0.15913040267414788,0.9784352827521571
-0.32357535,0.34103190760245056,0.9824862642865094
-1.2429937,0.19288890685554785,0.9900262445328536
-0.34020743,0.22595183060321264,0.9709886326055759
-0.7147608,0.3867169180608292,0.9832275847000951
-0.88507247,0.2785925041944835,0.9685347085053497
-0.049479745,0.28178996233857934,0.9637028738482697
-0.8418295,0.3271244973256052,0.9669473639804093
-1.5476925,0.20705349980644094,0.9770045084878999
-0.5517667,0.20277139557839502,0.9812099354403421
0.6623711,0.21684719099559505,0.9784103091583416
0.1707285,0.2383299090720761,0.9715809235802056
-0.6868188,0.23309938623429188,0.9910965245647045
0.0077344025,0.30608594783164506,0.9808413591067571
0.024366492,0.22860527268589576,0.9877538207189301
-0.6522242,0.28931904319613416,0.9702708252043905
-0.019542048,0.3541512288760375,0.9810058303383044
0.5053647,0.37203012826980675,0.9606047118506247
0.9291488,0.37988623559661666,0.9641540027318356
2.1918523,0.16110284371228967,0.9856565768245268
0.061622385,0.19291485898330363,0.9460960164792162
1.7693988,0.31885518952604597,0.9760889395701238
0.89987636,0.06636501641846936,0.9622694358752658
-0.17987458,0.37752241820370197,0.9767371147901132
-0.41738015,0.291849815275315,0.9783664448734611
1.0681926,0.14466573798503923,0.9671221883880504
0.15675767,0.48246217022735965,0.9716627956124424
-0.39875203,0.28972534333960775,0.9680072399940055
1.5199184,0.13252445453834746,0.9609115104983684
0.92249584,0.255026934061605,1.008013578658113
0.02170556,0.3253888230089136,0.966207793727184
1.9756359,0.4009962371872782,0.9726307985507745
-0.62228644,0.14822869798342433,0.9769950307062066
-0.360166,0.20498014440254728,0.9760658466506295
-0.41738015,0.19718589662042155,0.9570317572789032
0.09688226,0.41649207530218724,0.9680373617954912
-0.73139256,0.21625387212527583,0.9990330323155806
0.031019455,0.41150102501985597,0.9731227709660508
-0.3435339,0.2440139474481152,0.9764303839197278
-0.18785802,0.34250257684828467,0.965955968435906
-1.4325991,0.26935804678608616,0.9735644598658635
-1.0507275,0.20673290867460012,0.973025564779713
0.3995851,0.24899196943062196,0.9538399538709981
-0.026859926,0.2738811272795558,0.9796868798028806
-0.1725567,0.2373782094691388,0.9614694852770925
-1.013472,0.11528545622033577,0.9519603173442913
0.29846242,0.2865972897713291,0.9532618847396862
-1.4731808,0.09272832676708204,0.9918462619719961
1.0036603,0.33978457894170827,0.9865206682334147
1.6722678,0.3377783806293171,0.9827550788169203
-0.45729697,0.1434332712286412,0.9700629267032037
-0.3415379,0.2009686518949503,0.9818354376266534
-0.14661072,0.1809993844106564,0.9630408333449868
3.4658656,0.36043939358793925,0.978152828445911
-0.403409,0.08927257501811253,0.9900286887887172
0.07226674,0.3084419545701212,0.9798388160009512
0.9524335,0.2364475245604433,0.9850251467334201
-0.35351303,0.14557893680082432,0.9810388179226436
2.5118525,0.30718338741040613,0.9628091921277155
-2.0193765,0.09828697174641807,0.9689260816929662
1.2790867,0.17007908988786108,0.9633606910322893
-0.65422016,0.28669853023154523,0.9816597441300667
0.10420046,0.2609906530371201,0.9588720895507078
-0.83983344,0.13458720968224136,0.9785277879827543
1.9816234,0.30689983620300054,0.9588564844801961
-0.622952,0.14695225728239014,0.9718571646391556
-0.2962989,0.11605906800762934,0.9829775251499732
-1.4113101,0.1593119124788528,0.9763326709291404
2.0933907,0.42370768691755056,0.9729142334201789
-1.2609563,0.24829589284359274,0.9851573874435934
